Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Mark Lawrence,13/10/2025,Globe Derby,EXPERT TIPS,FALSE,Harness,5,4,LAY,WIN,$6.00,4. My Ultimate Harry,2,BEST BET,248964984,64092046,8,0,4.62,0.51,0.51,0.51
Mark Lawrence,13/10/2025,Globe Derby,EXPERT TIPS,FALSE,Harness,8,9,BACK,WIN,$3.50,9. Childers Road,2,BEST BET,248964990,23626805,8,0,2.2,-2.00,0.00,-2.00
Greg Polson,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,1,1,BACK,WIN,,1. Eagles Beware,2,,248922863,75795993,10,0,4.31,-2.00,-2.00,0.00
Greg Polson,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,2,1,BACK,WIN,,1. Waerea,2,,248922868,89708216,10,0,1.62,-2.00,-2.00,0.00
Shayne O'Cass,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,2,5,BACK,WIN,,5. Fit For A Prince,2,,248922868,89708220,10,0,55,-2.00,-2.00,0.00
Shayne O'Cass,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,2,5,BACK,PLACE,,5. Fit For A Prince,2,,248922869,89708220,10,0,5,-2.00,-2.00,0.00
Greg Polson,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,3,2,BACK,WIN,,2. Bella Wahine,2,,248922873,89708223,10,0,3.63,-2.00,-2.00,0.00
The Leg Up,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,3,6,BACK,WIN,$4.00,6. Made In Italy,1,,248922873,89708227,10,0,5.1,-1.00,-1.00,0.00
Shayne O'Cass,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,4,12,BACK,WIN,,12. Saloon Passage,2,BEST BET,248922878,1118591,10,0,16.63,-2.00,-2.00,-2.00
Greg Polson,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,4,5,BACK,WIN,,5. Aristocrat,2,,248922878,1456935,10,0,4.34,-2.00,-2.00,0.00
Shayne O'Cass,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,5,7,BACK,WIN,,7. Southern Prince,2,,248922883,1448794,10,1,1.59,1.06,1.06,0.00
Greg Polson,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,5,7,BACK,WIN,,7. Southern Prince,2,,248922883,1448794,10,1,1.59,1.06,1.06,0.00
Shayne O'Cass,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,6,9,BACK,WIN,,9. Fullalove,2,,248922888,89708243,10,1,3.25,4.05,4.05,0.00
Greg Polson,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,WIN,,1. Everybody Rise,2,,248922888,62788844,10,0,5.2,-2.00,-2.00,0.00
Shayne O'Cass,13/10/2025,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,7,4,BACK,WIN,,4. Nymphadora,2,,248922893,66790544,10,0,8.87,-2.00,-2.00,0.00
